level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	6875	5315	-1	
2	1	1	0	0	0	916	274	317	26	-1	
3	1	1	1	0	0	916	274	317	26	-1	
4	1	1	1	1	0	916	274	317	26	-1	
5	1	1	1	1	1	916	274	317	26	77	ALAMEO
5	1	1	1	1	2	1191	270	44	43	63	&
2	1	2	0	0	0	581	293	679	84	-1	
3	1	2	1	0	0	581	293	679	84	-1	
4	1	2	1	1	0	581	293	679	84	-1	
5	1	2	1	1	1	581	293	679	84	94	Alliance
2	1	3	0	0	0	572	385	5935	513	-1	
3	1	3	1	0	0	572	385	5935	513	-1	
4	1	3	1	1	0	572	385	5791	95	-1	
5	1	3	1	1	1	572	393	58	87	51	|
5	1	3	1	1	2	630	393	189	87	92	FOR
5	1	3	1	1	3	825	393	364	87	92	HEALTH
5	1	3	1	1	4	1195	393	73	87	87	|
5	1	3	1	1	5	5567	387	133	48	0	oage
5	1	3	1	1	6	5934	385	25	38	39	+
5	1	3	1	1	7	6079	387	67	38	58	OF
5	1	3	1	1	8	6336	385	27	40	40	2
4	1	3	1	2	0	624	501	3043	65	-1	
5	1	3	1	2	1	624	501	57	22	16	ee
5	1	3	1	2	2	712	501	134	57	0	Gervitp
5	1	3	1	2	3	863	497	70	73	49	your
5	1	3	1	2	4	947	501	61	57	22	ean
5	1	3	1	2	5	1021	497	108	73	22	rine
5	1	3	1	2	6	2837	522	321	36	95	STATEMENT
5	1	3	1	2	7	3200	522	69	36	96	OF
5	1	3	1	2	8	3308	522	359	36	96	REMITTANCE
4	1	3	1	3	0	722	696	5637	73	-1	
5	1	3	1	3	1	722	722	359	36	96	EMERYVILLE
5	1	3	1	3	2	1122	722	144	36	96	OPEN
5	1	3	1	3	3	1304	722	104	36	96	MRI
5	1	3	1	3	4	5492	696	142	73	96	Date:
5	1	3	1	3	5	6079	716	280	48	96	04/01/20
4	1	3	1	4	0	724	783	5675	48	-1	
5	1	3	1	4	1	724	789	130	36	94	P.O.
5	1	3	1	4	2	906	789	106	36	96	BOX
5	1	3	1	4	3	1054	785	208	40	96	101418
5	1	3	1	4	4	5492	787	104	38	24	Chk
5	1	3	1	4	5	5603	763	139	73	24	/EFT
5	1	3	1	4	6	5781	783	134	48	91	No#:
5	1	3	1	4	7	6079	785	320	40	95	000810519
4	1	3	1	5	0	724	849	5783	49	-1	
5	1	3	1	5	1	724	856	290	35	96	PASADENA
5	1	3	1	5	2	1049	856	74	35	96	CA
5	1	3	1	5	3	1164	851	173	40	95	91189
5	1	3	1	5	4	5492	849	250	49	90	Chk/EFT
5	1	3	1	5	5	5783	854	205	37	96	Total:
5	1	3	1	5	6	6298	851	209	40	95	859.59
2	1	4	0	0	0	5494	916	902	55	-1	
3	1	4	1	0	0	5494	916	902	55	-1	
4	1	4	1	1	0	5494	916	902	55	-1	
5	1	4	1	1	1	5494	922	175	49	96	Payee
5	1	4	1	1	2	5711	922	106	36	91	Tax
5	1	4	1	1	3	5861	916	127	48	89	ID#:
5	1	4	1	1	4	6075	918	321	40	81	XXXXX7403
2	1	5	0	0	0	429	1053	5894	715	-1	
3	1	5	1	0	0	429	1053	5894	715	-1	
4	1	5	1	1	0	433	1053	5201	41	-1	
5	1	5	1	1	1	433	1056	286	38	95	Provider
5	1	5	1	1	2	758	1058	169	36	96	Name:
5	1	5	1	1	3	979	1058	358	36	96	EMERYVILLE
5	1	5	1	1	4	1379	1058	142	36	95	OPEN
5	1	5	1	1	5	1558	1058	104	36	96	MRI
5	1	5	1	1	6	2764	1056	284	38	96	Provider
5	1	5	1	1	7	3087	1058	134	36	96	NPI:
5	1	5	1	1	8	3275	1053	354	41	96	1376597930
5	1	5	1	1	9	4619	1056	140	38	96	Line
5	1	5	1	1	10	4800	1056	69	38	95	of
5	1	5	1	1	11	4910	1056	313	38	96	Business:
5	1	5	1	1	12	5275	1058	177	36	95	GROUP
5	1	5	1	1	13	5492	1058	142	35	95	CARE
4	1	5	1	2	0	429	1185	5894	50	-1	
5	1	5	1	2	1	429	1189	217	38	96	Member
5	1	5	1	2	2	685	1191	169	36	96	Name:
5	1	5	1	2	3	908	1191	200	44	93	PEDRO,
5	1	5	1	2	4	1162	1191	361	36	91	FLORDELIZA
